Item,Geog location?,Year,Number of items (by same author). i.e. Photos of different exemplars of the same instrument in the same geographical area,Type (if desc + photo counts as photo as most photos described),Trait,Subtype,Name in native language,Group,Where ,Comments,Notes
384,,,,Description,axe,,,"Baka, Cameroon","Blench, 2009",,
253,,,,Photo,banging sticks,tree trunks,màkɛ̄kɛ̄ ,"Baka, Cameroon","Furniss, 2012",,
268,,,,Description,banging sticks,,,"Baka, Cameroon","Bahuchet and Furniss, 1995",,
270,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
271,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
272,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
276,,,,Photo,basket,,,"Baka, Cameroon","Devin, 2020",,
277,,,,Photo,basket,,,"Baka, Cameroon","Devin, 2020",,
278,,,,Photo,basket,,,"Baka, Cameroon","Devin, 2020",,
279,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
282,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
283,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
284,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
287,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Hoyte, 2019",,
288,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Weig, 2013",,
291,,,,Photo,basket,,tsəharak ,"Baka, Cameroon","Devin, 2020",,
307,,,,Photo,basket,,,"Baka, Cameroon","Gallois and Duda, 2016",,
308,,,,Photo,basket,,,"Baka, Cameroon","Gallois and Duda, 2016",,
313,,2009,,Photo,basket,"Large, for gathering forest products",tsəharak ,"Baka, Cameroon","Cradick, 2009",,
314,,2009,,Photo,basket,"Large, for gathering forest products",tsəharak ,"Baka, Cameroon","Cradick, 2009",,
315,,2009,,Photo,basket,"Large, for gathering forest products",tsəharak ,"Baka, Cameroon","Cradick, 2009",,
316,,2009,,Photo,basket,"Large, for gathering forest products",tsəharak ,"Baka, Cameroon","Cradick, 2009",,
317,,,,Photo,basket,"Large, for gathering forest products",tsəharak ,"Baka, Cameroon","Cradick, 2009",,
346,,,,Photo,basket,Carry game,Likulé,"Baka, Cameroon",Duda et al. 2018,,
348,,,,Photo,basket,,,"Baka, Cameroon","Duda,2014 ",,
349,,,,Photo,basket,,,"Baka, Cameroon","Duda,2014 ",,
350,,,,Photo,basket,,,"Baka, Cameroon","Duda,2014 ",,
351,,,,Photo,basket,,,"Baka, Cameroon","Duda,2014 ",,
352,,,,Photo,basket,,,"Baka, Cameroon","Duda,2014 ",,
374,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
375,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
376,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
377,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
378,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
379,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
380,rainforest in Batouri region,,,Photo,basket,,,"Baka, Cameroon","Foy, 1984",,
385,,1970,,Photo,basket,"small basket, hood type",,"Baka, Cameroon",Africa Museum Collection (Tervuren),,
388,,1977,,Photo,basket,,,"Baka, Cameroon",Africa Museum Collection (Tervuren),,
249,Makak,North part,,Photo,bells,Internal swing bells,sàkà,"Baka, Cameroon","Bahuchet and Furniss, 1995",,
250,Makak,North part,,Photo,bells,Internal swing bells,sàkà,"Baka, Cameroon","Bahuchet and Furniss, 1995",,
260,,,,Photo,bells,Body,"màngotà, sàkà","Baka, Cameroon","Staely, 2015",,
266,,,,Description,bells,Metal open bell struck with a hammer held ,,"Baka, Cameroon","Bahuchet, 1993; Yasuoka, 2014",,
357,,,,Photo,bells,,,"Baka, Cameroon","Fürniss, unpublished",,
366,,,,Photo,bells,Body,,"Baka, Cameroon","Fürniss, unpublished",,
345,,,,Photo,blowgun,"Made by neighbors, used by baka",,"Baka, Cameroon",Duda et al. 2018,,
355,,,,Photo,blowgun,,,"Baka, Cameroon","Duda,2014 ",,
356,,,,Photo,blowgun,,,"Baka, Cameroon","Duda,2014 ",,
329,,,,Photo,bow,,,"Baka, Cameroon","Devin, 2020",,
337,,,,Photo,bow,Small,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
338,,,,Photo,bow,Large,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
280,,,,Photo,bucket,made with leaves,,"Baka, Cameroon","Devin, 2020",,
273,,,,Photo,crossbow,,,"Baka, Cameroon","Devin, 2020",,
285,,,,Photo,crossbow,,,"Baka, Cameroon","Devin, 2020",,
320,,,,Photo,crossbow,,,"Baka, Cameroon","Bahuchet, 1992; Tessman, 1913",,
339,,,,Photo,crossbow,Wooden,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
372,rainforest in Batouri region,,,Photo,crossbow,,,"Baka, Cameroon","Foy, 1984",,
292,,,,Photo,dam,fishing,,"Baka, Cameroon","Devin, 2020",,
293,,,,Photo,dam,fishing,,"Baka, Cameroon","Devin, 2020",,
306,,,,Photo,dam,fishing,bàjà,"Baka, Cameroon","Gallois and Duda, 2016; Hatz, 2019 (word)",,
309,,,,Photo,dam,fishing,,"Baka, Cameroon","Gallois and Duda, 2016",,
340,,,,Photo,darts,Wood,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
373,rainforest in Batouri region,,,Photo,darts,,,"Baka, Cameroon","Foy, 1984",,
232,,after 2011,,Photo,drum,,,"Baka, Cameroon",Baka.co.uk,,
258,,2015,,Photo,drum,"Cylyndrical wooden drum, single membrane",mòkíndá,"Baka, Cameroon","Staely, 2015",,
259,,2015,,Photo,drum,"Cylyndrical wooden drum, single membrane",mòkíndá,"Baka, Cameroon","Staely, 2015",,
261,,,,Photo,drum,"Cylyndrical wooden drum, single membrane",mòkíndá,"Baka, Cameroon","Bahuchet, 1992",,
264,,,,Photo,drum,"Conical, 2 membranes","ndùmù (distinguish between nyɛ́ ɛ̀ ndùmù « mère » (grave) from lɛ̀ ndùmù « enfant » (aigu) (Furniss, 2012)","Baka, Cameroon","Furniss, 2017; Bahuchet, 1992",,
367,,,,Photo,drum,Single membrane ,,"Baka, Cameroon","Fürniss, unpublished",,
368,,,,Photo,drum,Single membrane ,,"Baka, Cameroon","Fürniss, unpublished",,
369,,,,Photo,drum,Single membrane ,,"Baka, Cameroon","Fürniss, unpublished",,
370,,,,Photo,drum,Single membrane ,,"Baka, Cameroon","Fürniss, unpublished",,
310,"districts of Lomié and Messok, in the Haut-Nyong Department ",2012-2014,,Photo,fishing hook,,njɛ́ɛ̀njɛ̀ ,"Baka, Cameroon","Gallois and Duda, 2016",,
311,"districts of Lomié and Messok, in the Haut-Nyong Department ",2012-2015,,Photo,fishing nailon threads,,kū nà njɛ́ɛ̀njɛ̀ ,"Baka, Cameroon","Gallois and Duda, 2016",Hooks were absent from the area in 1950s Vallois & Marquer 1976,
312,,,,Photo,fishing rod,,,"Baka, Cameroon","Gallois and Duda, 2016",Hooks were absent from the area in 1950s Vallois & Marquer 1976,
241,,,,Photo,flute,notched,mòbìó,"Baka, Cameroon","Bahuchet, 1992",,
242,,,,Photo,flute,notched,mòbìó,"Baka, Cameroon","Bahuchet, 1992",,
230,,after 2010,,Photo,ground harp,,g’bendi/ Angbindí,"Baka, Cameroon",Baka.co.uk,,
254,,,,Photo,ground harp,,g’bendi/ Angbindí,"Baka, Cameroon","Billard, 2008",,
235,,,,Photo,harp,,ngòmbi,"Baka, Cameroon",Baka.co.uk,,
236,,,,Photo,harp,,ngòmbi,"Baka, Cameroon","Devin, 2020",,
237,,,,Photo,harp,,ngòmbi,"Baka, Cameroon","Devin, 2020",,
239,,,,Photo,harp,,ngòmbi,"Baka, Cameroon","Devin, 2020",,
240,,,,Photo,harp,,ngòmbi,"Baka, Cameroon","Devin, 2020",,
358,,,,Photo,harp,,,"Baka, Cameroon","Fürniss, unpublished",,
321,,,,Photo,honey container,Bark container for transporting honey back to camp,mokobe,"Baka, Cameroon","Bahuchet, 1992",,In Bahuchet (2017)
322,,,,Photo,honey container,"Temporary collection basket, made with leaves",pèndi,"Baka, Cameroon","Bahuchet, 1992",,In Bahuchet (2017)
381,,,,Photo,honey container,Bark,,"Baka, Cameroon","Foy, 1984",,
383,,,,Description,knife,,méŋɡel ,"Baka, Cameroon","Blench, 2009",,
269,,,,Description,lamellaphone,,kèmbe,"Baka, Cameroon","Fürniss and Bahuchet, 1995",,
371,rainforest in Batouri region,,,Photo,leather sac,,,"Baka, Cameroon","Foy, 1984",,
386,,1977,,Photo,leather sac,,,"Baka, Cameroon",Africa Museum Collection (Tervuren),,
387,,1977,,Photo,leather sac,,,"Baka, Cameroon",Africa Museum Collection (Tervuren),,
265,,,,Description,machette,Hunting,,"Baka, Cameroon","Yasuoka, 2006; 2016; Hayashi, 2008",,
281,,,,Photo,machette,,,"Baka, Cameroon","Devin, 2020",,
286,,,,Photo,machette,,,"Baka, Cameroon","Hoyte, 2019",,
354,,,,Photo,machette,metal,,"Baka, Cameroon","Duda,2014 ",,
382,,,,Description,machette,hunting,"ngbala, mbono","Baka, Cameroon","Hetz, 2019",,
231,,after 2011,,Photo,musical bow,2 strings,língbidi/limbindi,"Baka, Cameroon",Baka.co.uk,,
233,,,,Photo,musical bow,2 strings,língbidi/limbindi,"Baka, Cameroon",Baka.co.uk,,
238,,,,Photo,musical bow,,,"Baka, Cameroon","Devin, 2020",,
244,,,,Photo,musical bow,2 stringed,língbidi/limbindi,"Baka, Cameroon","Fürniss, 2006",,
245,,,,Photo,musical bow,2 stringed,língbidi/limbindi,"Baka, Cameroon","Maget, 2017",,
246,,,,Photo,musical bow,2 stringed,língbidi/limbindi,"Baka, Cameroon","Maget, 2017",,
255,,,,Photo,musical bow,2 stringed,língbidi/limbindi,"Baka, Cameroon",,,
256,,,,Photo,musical bow,2 stringed,língbidi/limbindi,"Baka, Cameroon",,,
263,,,,Photo,musical bow,single stringed,ngàngo,"Baka, Cameroon","Bahuchet, 1992",,
294,,,,Photo,net,fishing,"ngúmā, ","Baka, Cameroon","Devin, 2020",,
274,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
275,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
295,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
296,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
297,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
298,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
299,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
300,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
301,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
302,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
303,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
304,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
305,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
318,,,,Photo,pirogue,,ga,"Baka, Cameroon","Devin, 2020; Hatz, 2019 (word)",,
248,,,,Photo,rattle,Plant fiber,"lìgbegbe, mangisa , màyoyo or màngota","Baka, Cameroon","Devin, 2020",,
251,,,,Photo,rattle,Basket,lìgbebe,"Baka, Cameroon","Bahuchet and Furniss, 1995",,
267,,,,Description,rattle,,"màngotà, sàkà","Baka, Cameroon","Bahuchet and Furniss, 1995",,
361,,,,Photo,rattle,Basket,,"Baka, Cameroon","Fürniss, unpublished",,
362,,,,Photo,rattle,Basket,,"Baka, Cameroon","Fürniss, unpublished",,
363,,,,Photo,rattle,Basket,,"Baka, Cameroon","Fürniss, unpublished",,
319,,,,Photo,sac,,sàwàlà,"Baka, Cameroon","Bahuchet, 1992",,
325,,,,Photo,snare,vine,,"Baka, Cameroon","Yasuoka, 2014",,
343,,,,Photo,snare,"Cable, twisted, leg snare",anjassi also mò.lingè,"Baka, Cameroon",Duda et al. 2018,made by adults,
344,,,,Photo,snare,twisted metal cable,apeku.lo,"Baka, Cameroon",Duda et al. 2018,,
347,,,,Photo,snare,vegetable materials,,"Baka, Cameroon",Duda et al. 2018,used by children,
289,,,,Photo,spear,spearheads are made of metal,MBenga,"Baka, Cameroon","Weig, 2013",,
341,,,,Photo,spear,"Metal, leaf shaped",Mbenga,"Baka, Cameroon",Duda et al. 2018,,
353,,,,Photo,spearhead,Metal,,"Baka, Cameroon","Duda,2014 ",,
252,,,,Photo,struck beam,"bois, du raphia ou du bambou ",mbàndā. ,"Baka, Cameroon","Furniss, 2012",,
364,,,,Photo,struck beam,,,"Baka, Cameroon","Fürniss, unpublished",,
342,,,,Photo,trap,Vegetable materials,,"Baka, Cameroon",Duda et al. 2018,made by children,
365,,,,Photo,whistle,,,"Baka, Cameroon","Fürniss, unpublished",,
323,,,,Photo,wooden auger,,,"Baka, Cameroon","Periquet, 1916","Particularly for uprooting Dioscorea semperflorens. Exclusive to Aka of Car and Baka of Cameroon (Bahuchet, 2000; Dounias, 2001b). ",In Bahuchet (2017)
324,,,,Photo,wooden auger,,,"Baka, Cameroon","Vallois and Marquer, 1976","Particularly for uprooting Dioscorea semperflorens. Exclusive to Aka of Car and Baka of Cameroon (Bahuchet, 2000; Dounias, 2001b). ",In Bahuchet (2017)
326,,,,Photo,wooden auger,,,"Baka, Cameroon","Vallois and Marquer, 1976",Particularly for uprooting Dioscorea semperflorens,In Bahuchet (2017)
327,,,,Photo,wooden auger,,,"Baka, Cameroon","Dounias, 2001",,
243,,,,Photo,zither harp,Made of raffia (the same as all other known zither harps in ventral africa. Very different to that of the Aka. has an amplifying table of raffia sticks attached to the bridge and its four strings are nowadays made of cable.,bògongo,"Baka, Cameroon","Fürniss, 2006",,
247,,,,Photo,zither harp,,bògongo,"Baka, Cameroon","Devin, 2020",,
257,,,,Photo,zither harp,,bògongo,"Baka, Cameroon","Fürniss, 2011",,
262,,,,Photo,zither harp,,bògongo,"Baka, Cameroon","Bahuchet, 1992",,
359,,,,Photo,zither harp,,,"Baka, Cameroon","Fürniss, unpublished",,
360,,,,Photo,zither harp,,,"Baka, Cameroon","Fürniss, unpublished",,
234,,,,Photo,zither-harp,Made of raffia (the same as all other known zither harps in ventral africa. Very different to that of the Aka. has an amplifying table of raffia sticks attached to the bridge and its four strings are nowadays made of cable.,bògongo,"Baka, Cameroon",Baka.co.uk,,
389,,,,Photo,arrow,metal tip,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
390,,,,Photo,arrow,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
391,,,,Photo,arrow,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
392,,,,Photo,arrow,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
393,,,,Photo,arrow,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
395,,,,Photo,knife,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
394,,,,Photo,leather sac,,,"Bakola, Bagyeli, Cameroon",Africa Museum Collection (Tervuren),,
396,,,,Description,drum,Cylyndrical wooden drum short one,ténguè,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2011",,
397,,,,Description,drum,tall one - identical to those of the Baka,mbɛ̀ ,"Bakola, Bagyeli, Cameroon","Furniss, 2017",,
398,Bipindi au Sud-Cameroun occidental ,,,Description,musical bow,one string,támìntúbà ,"Bakola, Bagyeli, Cameroon","Furniss, 2017",,
399,Bipindi au Sud-Cameroun occidental ,,,Description,rattle,Basket but for ankle,bégèlè,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2014",,
400,Bipindi au Sud-Cameroun occidental ,,,Description,rattle,Basket,mèndjiéba,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2014",,
401,Bipindi au Sud-Cameroun occidental ,,,Description,rattle,basket,mèndjiéba,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2014",,
402,Bipindi au Sud-Cameroun occidental ,,,Description,resonant sticks,,bàpáa,"Bakola, Bagyeli, Cameroon","Furniss, 2017",,
403,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,struck beam,beam struck,"bèlé, ngyèn or bákà depending on occasion","Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2014",,
404,Bipindi au Sud-Cameroun occidental ,,,Description,struck beam/ stuck beam,"Played with sticks, made of bamboo",ngyèn,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2014",,
405,Bipindi au Sud-Cameroun occidental ,,,Description,whistle,"one tone, made with bamboo",lìbóusá,"Bakola, Bagyeli, Cameroon","Furniss, 2017",,
453,,,,Description,axe,,obon,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
421,,,,Photo,basket,"Large, gathering of leaves, land snails",,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
425,,,,Photo,basket,Panier for food and forest material,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
429,,,,Photo,basket,,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
430,,,,Photo,basket,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
439,,,,Photo,basket,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
440,,,,Photo,basket,Fish trap (one that looks fully closed),,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
441,,,,Photo,basket,Fish trap (one that looks fully closed),,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
442,,,,Photo,basket,Fish trap (one that looks fully closed),,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
415,Makak,,,Description,bells,claperless,bɛ̀ ŋgɔ́ ,"Bakola, Bagyeli, Cameroon","Blench, 2009",,
445,,,,Description,blowgun,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
449,,,,Description,crossbow,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
451,,,,Description,dam,fishing,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
450,,,,Description,darts,Wooden tips and poisoned,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
406,,,,Photo,drum,"Open, single skinned cylindrical drum",,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
407,,,,Photo,drum,Membranophone - large drum with 1 skin,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
416,Makak,,,Description,drum,large conical,mbɛ̀ ,"Bakola, Bagyeli, Cameroon","Blench, 2009",,
417,Makak,,,Description,drum,small conical,ŋgɔ̀m ,"Bakola, Bagyeli, Cameroon","Blench, 2009",,
410,,,,Photo,lamellaphone,,Tamé-tamé,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
413,Bipindi au Sud-Cameroun occidental ,,,Photo,lamellaphone,,Tamé-tamé,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2011",,
432,,,,Photo,machette,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
443,,,,Photo,machette,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
454,,,,Description,machette,,fa,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
422,,,,Photo,net,Hunting,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
423,,,,Photo,net,Hunting,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
448,Nkollo near Lokoundje,,,Description,net ,"Hunting; Ces filets longs respectivement de 34 et 32 mètres; made from bush fibres (riumfetta cordifolia, famille des Tiliacées)",,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
431,,,,Photo,pirogue,,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
418,,,,Description,pluriarc,6 strings,dúm,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2011",,
414,Djom,,,Photo,rattle,ankle,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011; Blench, 2009",,
419,,,,Description,rattle,basket,nyàs ,"Bakola, Bagyeli, Cameroon","Blench, 2009",,
447,,,,Description,snare,cable,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
424,,,,Photo,spear,Hunting,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
426,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
427,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Devin, 2020",,
428,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Castillo-Fiel, 1947",,
433,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
434,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
435,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
436,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
437,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
438,,,,Photo,spear,,,"Bakola, Bagyeli, Cameroon","Borchardt, 2011",,
444,,,,Photo,spear,"Metal head, about 2m long (from Bantus)",Matsindi,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
446,,,,Description,spear,"Wooden tip, poisoned",Matsindi,"Bakola, Bagyeli, Cameroon","Nke, 2014",,
408,Name from Makak,,,Photo,struck beam,Log drum played with sticks,"bèlé, ngyèn or bákà depending on occasion","Bakola, Bagyeli, Cameroon","Devin, 2020; Blench, 2009",,
409,,,,Photo,struck beam,Log drum played with sticks,"bèlé, ngyèn or bákà depending on occasion","Bakola, Bagyeli, Cameroon","Devin, 2020; Blench, 2009",,
452,,,,Description,trap,Animal,,"Bakola, Bagyeli, Cameroon","Biesbrouck, 1999",,
420,Makak,,,Description,xylophone,,mànjáŋ ,"Bakola, Bagyeli, Cameroon","Blench, 2009",,
411,Bipindi au Sud-Cameroun occidental ,,,Photo,zither harp,"comporte un dispositif d'amplification plus sophistiqué que les autres instruments examinés jusqu'ici. En effet, le manche est attaché à un cadre triangulaire en lamelles de raphia, construction nécessitant plus de travail que la seule récupération d'un objet creux. Cette ""caisse de résonance"" est réduite au minimum structurel : le manche en constitue le fond et trois lamelles de raphia forment la table d'harmonie. La corde est attachée entre les deux extrémités du manch",,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2011",,
412,Bipindi au Sud-Cameroun occidental ,,,Photo,zither harp,,,"Bakola, Bagyeli, Cameroon","Oloa-Biloa, 2011",,
489,,,,Photo,arrow,,di.banzika ,"Bakoya, DRC","Soengas, 2010",,
526,,,,Description,axe,,,"Bakoya, DRC","Soengas, 2010",,
529,,,,Description,axe,,soka,"Bakoya, DRC","Soengas, 2010",,
538,,,,Description,axe,,,"Bakoya, DRC","Soengas, 2010",,
485,,,,Photo,basket,Carry stuff on your back,Di.kuya,"Bakoya, DRC","Soengas, 2010",,
486,,,,Photo,basket,Filtering one,Tande,"Bakoya, DRC","Soengas, 2010",,
487,,,,Photo,basket,"corbeille, elegant basket kind of conical",diapa,"Bakoya, DRC","Soengas, 2010",,
488,,,,Photo,basket,Hood,mbaka,"Bakoya, DRC","Soengas, 2010",,
490,,,,Photo,basket,,Ankala,"Bakoya, DRC","Soengas, 2010",,
491,,,,Photo,basket,,,"Bakoya, DRC","Soengas, 2010",,
492,,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
494,,,,Photo,basket,,Diapa,"Bakoya, DRC","Soengas, 2010",,
496,,,,Photo,basket,,Ankala,"Bakoya, DRC","Soengas, 2010",,
497,,,,Photo,basket,,Tande,"Bakoya, DRC","Soengas, 2010",,
499,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
502,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,,"Bakoya, DRC","Soengas, 2010",,
503,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,,"Bakoya, DRC","Soengas, 2010",,
504,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
505,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
506,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
507,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
508,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
509,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,Tande,"Bakoya, DRC","Soengas, 2010",,
510,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,Di.kuya,"Bakoya, DRC","Soengas, 2010",,
511,l'Ogoué-Ivindo province; NE Gabon,,,Photo,basket,,Di.kuya,"Bakoya, DRC","Soengas, 2010",,
513,,,,Photo,basket,,,"Bakoya, DRC","Soengas, 2010",,
514,,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
515,,,,Photo,basket,,diapa,"Bakoya, DRC","Soengas, 2010",,
516,,,,Photo,basket,,,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2011",,
517,,,,Photo,basket,,,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2011",,
531,,,,Description,blowgun,,ngadi,"Bakoya, DRC",Fa et al. 2016,,
532,,,,Description,blowgun,,ngadi,"Bakoya, DRC","Soengas, 2010",,
527,,,,Description,bow,,iguila,"Bakoya, DRC",Fa et al. 2016,,
484,Odzala-Kokoua National Park,,,Photo,crossbow,,gane,"Bakoya, DRC","Hammer, Geller-Grimm, Lerp and Reymann, 2015",,
500,l'Ogoué-Ivindo province; NE Gabon,,,Photo,crossbow,,gane,"Bakoya, DRC","Soengas, 2010",,
534,,,,Description,dam,fishing,diloke,"Bakoya, DRC","Soengas, 2010",,
455,,,,Photo,drum,"Open, single skinned cylindrical drum with pierced base",,"Bakoya, DRC","Devin, 2020",,
456,,,,Photo,drum,Single skinned,,"Bakoya, DRC","Devin, 2021",,
459,Zoula,,,Photo,drum,"Cylyndrical wooden drum, pegged skin; played with the hands - version of about 1.6m tall (exists also in a slightly smaller size of 1m tall)",ngom,"Bakoya, DRC","Soengas, 2010",,
460,,,,Photo,drum,"Cylyndrical wooden drum, pegged skin; played with the hands - version that is very short","ngomu, ngom","Bakoya, DRC","Soengas, 2010",,
461,,,,Photo,drum,,abela,"Bakoya, DRC","Eppelboin, 2006",,
462,,,,Photo,drum,,ngom,"Bakoya, DRC","Eppelboin, 2006",,
463,,,,Photo,drum,,abela,"Bakoya, DRC","Eppelboin, 2006",,
464,,,,Photo,drum,,andum,"Bakoya, DRC","Eppelboin, 2006",,
465,,,,Photo,drum,two headed conical drum; struck with two sticlks,ndumu,"Bakoya, DRC","Soengas, 2010",,
466,,,,Photo,drum,two headed conical drum; struck with two sticlks,ndumu,"Bakoya, DRC","Soengas, 2010",,
493,,,,Photo,fishing rod,,,"Bakoya, DRC","Soengas, 2010",,
495,,,,Photo,fishing rod,,,"Bakoya, DRC","Soengas, 2010",,
